# HELP testmetric the value is always 1.0 and there will be one point per hour for the whole year 2021
# TYPE testmetric gauge
testmetric{foo="bar"} 1.0 1.6094592e+06
testmetric{foo="bar"} 1.0 1.6094628e+06
testmetric{foo="bar"} 1.0 1.6094664e+06
testmetric{foo="bar"} 1.0 1.60947e+06
testmetric{foo="bar"} 1.0 1.6094736e+06
testmetric{foo="bar"} 1.0 1.6094772e+06
testmetric{foo="bar"} 1.0 1.6094808e+06
testmetric{foo="bar"} 1.0 1.6094844e+06
testmetric{foo="bar"} 1.0 1.609488e+06
testmetric{foo="bar"} 1.0 1.6094916e+06
testmetric{foo="bar"} 1.0 1.6094952e+06
testmetric{foo="bar"} 1.0 1.6094988e+06
testmetric{foo="bar"} 1.0 1.6095024e+06
testmetric{foo="bar"} 1.0 1.609506e+06
testmetric{foo="bar"} 1.0 1.6095096e+06
testmetric{foo="bar"} 1.0 1.6095132e+06
testmetric{foo="bar"} 1.0 1.6095168e+06
testmetric{foo="bar"} 1.0 1.6095204e+06
testmetric{foo="bar"} 1.0 1.609524e+06
testmetric{foo="bar"} 1.0 1.6095276e+06
testmetric{foo="bar"} 1.0 1.6095312e+06
testmetric{foo="bar"} 1.0 1.6095348e+06
testmetric{foo="bar"} 1.0 1.6095384e+06
testmetric{foo="bar"} 1.0 1.609542e+06
testmetric{foo="bar"} 1.0 1.6095456e+06
testmetric{foo="bar"} 1.0 1.6095492e+06
testmetric{foo="bar"} 1.0 1.6095528e+06
testmetric{foo="bar"} 1.0 1.6095564e+06
testmetric{foo="bar"} 1.0 1.60956e+06
testmetric{foo="bar"} 1.0 1.6095636e+06
testmetric{foo="bar"} 1.0 1.6095672e+06
testmetric{foo="bar"} 1.0 1.6095708e+06
testmetric{foo="bar"} 1.0 1.6095744e+06
testmetric{foo="bar"} 1.0 1.609578e+06
testmetric{foo="bar"} 1.0 1.6095816e+06
testmetric{foo="bar"} 1.0 1.6095852e+06
testmetric{foo="bar"} 1.0 1.6095888e+06
testmetric{foo="bar"} 1.0 1.6095924e+06
testmetric{foo="bar"} 1.0 1.609596e+06
testmetric{foo="bar"} 1.0 1.6095996e+06
testmetric{foo="bar"} 1.0 1.6096032e+06
testmetric{foo="bar"} 1.0 1.6096068e+06
testmetric{foo="bar"} 1.0 1.6096104e+06
testmetric{foo="bar"} 1.0 1.609614e+06
testmetric{foo="bar"} 1.0 1.6096176e+06
testmetric{foo="bar"} 1.0 1.6096212e+06
testmetric{foo="bar"} 1.0 1.6096248e+06
testmetric{foo="bar"} 1.0 1.6096284e+06
testmetric{foo="bar"} 1.0 1.609632e+06
testmetric{foo="bar"} 1.0 1.6096356e+06
testmetric{foo="bar"} 1.0 1.6096392e+06
testmetric{foo="bar"} 1.0 1.6096428e+06
testmetric{foo="bar"} 1.0 1.6096464e+06
testmetric{foo="bar"} 1.0 1.60965e+06
testmetric{foo="bar"} 1.0 1.6096536e+06
testmetric{foo="bar"} 1.0 1.6096572e+06
testmetric{foo="bar"} 1.0 1.6096608e+06
testmetric{foo="bar"} 1.0 1.6096644e+06
testmetric{foo="bar"} 1.0 1.609668e+06
testmetric{foo="bar"} 1.0 1.6096716e+06
testmetric{foo="bar"} 1.0 1.6096752e+06
